country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,,,,,,,,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053,,,0.103,,0.136,0.186,,0.228,,0.218,0.212,,,,0.225,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.575,,0.751,,,0.601,,,,0.693,,,,,,,,,0.46
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,0.358,,,,,0.509,,,0.569,,,,,0.64,,0.57,,,,0.614,,,,,,0.559,0.571,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081,,,,,0.062,,,,,,,,0.177,,,,,,,0.137,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,0.482,0.482,,,,,,0.526,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.653,,,,0.789,,,,,,,0.554,0.813,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,0.605,,,,,0.531,,,,,0.549,,,,,,0.571,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,0.761,,,,,,,,,0.667,,,,,,,0.708,,,0.723,0.652,,,0.62,,,0.678,,,,0.669,,
Austria,,,,,,,,,,,,,,,,,,,,,,0.714,,,,,,,,,,,,,,0.509,,,,,,,,,,,,,0.696,,,,0.657,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.551,0.554,,,,,0.511,,,,,0.549,,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.617,,,,,,,,,,,,,0.446,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.538,,,,,,0.618,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,0.077,,,,0.127,0.186,,,0.191,,0.253,,,0.314,,0.399,,,0.449,,,0.498,,,0.543,,,,0.585,,,0.558,0.526,,,0.612,,0.618,0.623,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,0.465,,,,,,,0.55,,,,,,,,,,0.55,,,,,,,,,,,,,,0.592,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.504,,,,,,,,,,0.726,,,,,,,0.631,,,,,0.721,
Belgium,,,,,,0.72,,,,,,,,,,0.87,,,,,,,0.81,,,,,,,,,0.784,,,,,0.565,,,,0.756,,,0.746,,,,,0.704,,,,0.668,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.467,,,,,,,,0.561,,,,,,,0.343,,,,,0.552,,,,,0.514,,
Benin,,,,,,,,,,,,,,,,,,,,,,0.066,,,,,,,,,,,,,,0.164,,,,,0.186,,,,,0.17,,,,,,0.129,,0.179,,,,0.155
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188,,,,,,0.307,,,,,,,0.354,,,0.656,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,0.236,,,,,,0.303,,,,,0.453,,,,0.483,,0.534,,,0.584,,,,,0.605,,,,,,,,0.665,,
Bosnia and Herzegovina,,,,,,,,,,0.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.475,,,,,,0.357,,,,,,0.458,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,0.278,,,,0.33,,,,,,,,0.417,,,,0.444,,,,,,,0.528,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,0.662,,,,,0.592,,,,,0.767,,,,,,,,,,0.803,,,,,,,0.802,,,,,
Bulgaria,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,0.859,,,0.634,,,,,,,0.644,,0.692,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249,,,,,,0.119,,,,0.138,,,0.174,,,,0.162,,,,0.181,0.208,0.255,0.254,0.317
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,,,,,,,,,,,,,0.157,,0.197,,,0.091,,,,0.227,0.219,,0.317,,,,,0.285,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126,,,0.218,,0.238,,,,,0.4,,,,,0.505,,,,0.563,,,,
Cameroon,,,,,,,,,,,,,,,,,,0.024,,,,,,,,,,,,,0.161,,,,,,,0.193,,0.256,,,,0.26,,0.292,,,,,0.234,,,0.344,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,0.731,,,,,,,,,,,0.747,,,0.8,,,,0.74,,,,0.85,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238,0.238,,,,,,,,,0.529,,,,,,,0.613,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148,,,,,0.279,,,,,,0.19,,,,0.152,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041,,,0.079,,,,0.028,,,,,,0.048,,,,,0.057,,,
Chile,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,0.56,,,,,,,,,,,0.607,,,,,0.642,,,,,,,,,,0.763,,
China,,,,,,,,,,,,,,,,,,,,,,0.695,,,0.74,,,0.711,,,,0.846,,0.907,0.904,0.911,0.838,,0.83,0.838,0.869,,,,,0.846,,0.893,0.89,0.891,0.886,0.879,,,,,0.845,
Colombia,,,,,,,,,0.205,,,,,,,0.425,,0.461,,0.485,,,,,,0.648,,,,0.661,,,,,0.722,,,,,0.769,,,,,0.782,,,,,0.791,,,,,0.81,,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,0.257,,,,,,,,,,,,0.194,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,0.258,0.258,,,,,,,0.077,,,,,,,,,,0.314,,,,,,0.206,,,0.177,,,,0.204,,,,
